Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
87	254	0.309	32	39	2	22.2	35.5	4.3
86	142	0.0985	51	33	7	44.5	34.9	5.34
85	110	0.457	32	43	3	31.4	42.3	6.27
84	36	0.165	36	30	3	36.2	28	3.17
83	25	0.067	44	19	12	45.7	21.4	10.1
82	19	0.0713	27	24	4	27.2	22.2	4.83
81	18	0.0339	47	42	6	47.5	40.2	7.34
80	12	0.0336	35	22	5	34.7	21.6	5.8
79	10	0.581	32	31	0	31	30.5	0
78	9	0.0554	45	45	2	46.3	44.2	2.92
77	9	0.259	36	40	1	36	40.2	1.09
76	7	0.0271	16	45	7	16.6	45.4	7.21
75	6	0.0636	16	21	10	16.8	22.1	9.45
74	6	0.0341	35	18	5	35	18	5
73	5	0.0286	29	32	10	29.9	32.9	10.5
72	5	0.0179	32	26	10	32.2	26.1	10.4
71	4	0.0535	43	26	7	42.5	26.4	7
70	4	0.0187	30	54	6	29.8	55.1	6.69
69	4	0.0157	33	55	7	32.8	54.5	6.29
68	4	0.0164	23	45	2	22	46.2	2
67	3	0.0171	18	27	11	18.9	27	10.4
66	3	0.0394	20	39	8	19.5	38.7	8
65	3	0.0165	47	23	5	48	23	5.63
64	3	0.0147	40	29	2	39.6	28.1	2.94
63	2	0.0316	45	33	11	44.7	32.7	11
62	2	0.0197	28	52	10	28.4	52	10
61	2	0.0157	29	37	10	29	37.5	10
60	2	0.0289	34	37	10	33.7	36.7	10.3
59	2	0.0144	15	28	10	15.5	28	10.5
58	2	0.0196	47	45	9	46.5	44.5	9
57	2	0.018	21	18	7	20.6	18.4	7
56	2	0.0339	50	25	6	50	25.5	6
55	2	0.0212	38	28	0	38	27.6	0.406
54	2	0.0207	26	27	0	26	26.6	0
53	1	0.0157	41	30	14	41	30	14
52	1	0.0152	33	45	13	33	45	13
51	1	0.0283	36	17	13	36	17	13
50	1	0.0508	31	49	12	31	49	12
49	1	0.0145	36	46	12	36	46	12
48	1	0.0128	38	41	12	38	41	12
47	1	0.0123	18	33	12	18	33	12
46	1	0.0136	31	28	12	31	28	12
45	1	0.0123	28	15	12	28	15	12
44	1	0.0158	19	35	11	19	35	11
43	1	0.0146	31	30	11	31	30	11
42	1	0.0137	35	27	11	35	27	11
41	1	0.0252	18	19	11	18	19	11
40	1	0.0185	21	50	10	21	50	10
39	1	0.0126	35	49	10	35	49	10
38	1	0.0412	49	36	10	49	36	10
37	1	0.012	21	34	10	21	34	10
36	1	0.0132	45	30	10	45	30	10
35	1	0.0133	20	20	10	20	20	10
34	1	0.0127	34	17	10	34	17	10
33	1	0.0123	40	17	10	40	17	10
32	1	0.0227	40	52	9	40	52	9
31	1	0.0611	19	49	9	19	49	9
30	1	0.0159	23	42	9	23	42	9
29	1	0.0133	43	37	8	43	37	8
28	1	0.0145	47	35	8	47	35	8
27	1	0.014	43	22	8	43	22	8
26	1	0.0155	27	19	8	27	19	8
25	1	0.0144	48	19	8	48	19	8
24	1	0.0134	27	55	7	27	55	7
23	1	0.0256	37	19	7	37	19	7
22	1	0.0199	22	13	7	22	13	7
21	1	0.0181	46	16	6	46	16	6
20	1	0.023	49	28	5	49	28	5
19	1	0.016	27	11	5	27	11	5
18	1	0.0152	45	49	4	45	49	4
17	1	0.119	16	44	4	16	44	4
16	1	0.0265	24	31	4	24	31	4
15	1	0.0229	27	17	4	27	17	4
14	1	0.0184	25	51	3	25	51	3
13	1	0.0132	19	49	3	19	49	3
12	1	0.0133	35	37	3	35	37	3
11	1	0.0302	47	25	3	47	25	3
10	1	0.0453	26	48	2	26	48	2
9	1	0.0424	30	47	2	30	47	2
8	1	0.0338	36	44	2	36	44	2
7	1	0.0683	36	35	1	36	35	1
6	1	0.0133	38	35	1	38	35	1
5	1	0.0137	20	32	1	20	32	1
4	1	0.0229	41	14	1	41	14	1
3	1	0.0225	23	24	0	23	24	0
2	1	0.0171	32	20	0	32	20	0
1	1	0.0264	20	16	0	20	16	0
